,Rank,Name,in 2021 ranking,in 2020 ranking,Country,Sector,Absolute Growth Rate %,Compound Annual Growth Rate (CAGR) %,Revenue 2020 (€),Revenue 2017 (€),Number of employees 2020,Number of employees 2017,Founding Year
714,715.0,Pharmacy2U,Yes,No,UK,Technology,223.91,47.96,156232906.0,48580102.0,454.0,211,1999.0
715,716.0,PHOENIX DEVELOPPEMENT,No,No,France,Support Services,223.16,47.85,1797294.0,556159.0,18.0,6,2011.0
716,717.0,Wiwie Transport,No,No,Germany,Transport,223.08,47.83,4200000.0,1300000.0,25.0,10,2016.0
717,718.0,Mevas Auto Center,No,No,Romania,Automobiles,222.96,47.81,2595034.0,834708.0,31.0,23,2003.0
718,719.0,BK Beachhouse Mode,Yes,No,Germany,Retail,222.78,47.79,5172479.0,1602458.0,35.0,21,2015.0
719,720.0,F.lli Urso,No,No,Italy,Construction,222.59,47.76,2009090.0,622800.0,9.0,3,2015.0
720,721.0,GoHenry,Yes,Yes,UK,Financial Services,222.24,47.7,22020382.0,6882489.0,166.0,61,2011.0
721,722.0,Adrilog,Yes,No,Italy,Transport,221.85,47.64,57057180.0,17727950.0,816.0,634,2014.0
722,723.0,Attachment,Yes,Yes,UK,Advertising,221.77,47.63,7191249.0,2250946.0,6.0,2,2015.0
723,724.0,PARIS HERBES,Yes,No,France,Agricultural Commodities,221.73,47.63,12934943.0,4020469.0,25.0,15,2015.0
724,725.0,Interlog Logistic,No,No,France,Transport,221.69,47.62,5480946.0,1703819.0,28.0,37,2015.0
725,726.0,Conglomerati Bituminosi,Yes,No,Italy,Construction,221.08,47.53,33371870.0,10393680.0,75.0,34,1975.0
726,727.0,Nikkel Art,No,No,Belgium,Ecommerce,220.83,47.49,3762160.0,1172617.0,26.0,5,2010.0
727,728.0,Esyen,No,No,Italy,Technology,220.6,47.45,3868940.0,1206770.0,25.0,9,2011.0
728,729.0,Sav-eco Packaging Ltd,No,No,UK,Industrial Goods,220.27,47.4,16923940.0,5322238.0,165.0,104,2014.0
729,730.0,Elmar Mair Tiefbau,No,No,Germany,Construction,219.98,47.36,2302685.0,719638.0,19.0,8,2016.0
730,731.0,ATLAS Innovative Engineering,No,No,Spain,Energy,219.37,47.26,3495981.0,1094666.0,15.0,12,2014.0
731,732.0,SECURE-IC,No,No,France,Technology,219.33,47.26,6934182.0,2171492.0,76.0,48,2010.0
732,733.0,DATALYO,No,No,France,Technology,218.82,47.18,3544255.0,1111687.0,36.0,16,2014.0
733,734.0,Signify Technology,No,No,UK,Management Consulting,218.78,47.17,2547992.0,805029.0,29.0,14,2016.0
734,735.0,BOXT,No,No,UK,Ecommerce,218.69,47.16,38373430.0,12127395.0,59.0,20,2017.0
735,736.0,James and James Fulfilment,No,No,UK,Ecommerce,218.67,47.16,30887883.0,9762332.0,158.0,55,2010.0
736,737.0,Armonie,No,No,Italy,Food & Beverage,218.66,47.16,2803150.0,879670.0,9.0,5,2014.0
737,738.0,Maverick Group,No,No,Italy,Technology,217.27,46.94,5313290.0,1674690.0,5.0,1,2017.0
738,739.0,Brainpull,No,No,Italy,Advertising,217.21,46.93,4264120.0,1344240.0,29.0,10,2012.0
739,740.0,Wiseband,No,No,France,Media,217.08,46.91,1636674.0,516164.0,15.0,4,2014.0
740,741.0,Groupe Ezdo La Boulangerie Des Gourmets,Yes,No,France,Agricultural Commodities,216.91,46.89,40777823.0,12867410.0,15.0,4,2013.0
741,742.0,Pakar Service,Yes,No,Poland,Support Services,216.15,46.77,9729642.0,3363800.0,396.0,257,2010.0
742,743.0,BIO-UV,No,No,France,Industrial Goods,216.03,46.75,32175000.0,10181000.0,117.0,62,2000.0
743,744.0,F.G. Service,No,No,Italy,Construction,215.54,46.67,2554140.0,809450.0,14.0,2,2015.0
744,745.0,Allways Logistics System,Yes,No,Italy,Transport,215.48,46.66,9569120.0,3033150.0,125.0,2,2012.0
745,746.0,Matsmart,Yes,Yes,Sweden,Ecommerce,215.4,46.65,49576899.0,16075963.0,164.0,75,2013.0
746,747.0,autargo,No,No,Germany,Construction,215.35,46.64,1807173.0,573070.0,5.0,2,2016.0
747,748.0,Brewshop.no,Yes,No,Norway,Food & Beverage,215.26,46.63,4392988.0,1484883.0,9.0,7,2015.0
748,749.0,Visualitics,No,No,Italy,Technology,215.24,46.63,2131000.0,676000.0,15.0,3,2016.0
749,750.0,HiFi extra,No,No,Germany,Retail,215.1,46.61,49190436.0,15610826.0,32.0,14,2016.0
750,751.0,Ankerkraut,Yes,Yes,Germany,Food & Beverage,214.45,46.5,26010474.0,8271702.0,150.0,70,2013.0
751,752.0,GDA,No,No,Italy,Fashion,213.62,46.37,20745690.0,6615000.0,205.0,98,2008.0
752,753.0,Nexid,No,No,Italy,Technology,213.53,46.36,2696270.0,859960.0,25.0,9,2006.0
753,754.0,GS Studio & Service,No,No,Italy,Energy,213.26,46.32,2087000.0,666210.0,16.0,7,2013.0
754,755.0,Neosperience,No,No,Italy,Technology,213.0,46.28,16367000.0,5229000.0,160.0,60,2006.0
755,756.0,Lunos,No,No,Slovenia,Technology,212.89,46.26,6356404.0,2031522.0,16.0,11,2010.0
756,757.0,Meic Costruzioni,No,No,Italy,Construction,212.86,46.26,10456300.0,3342120.0,71.0,39,2013.0
757,758.0,Trident Lifting Solutions Ltd,No,No,UK,Construction,212.6,46.22,15846632.0,5105700.0,14.0,12,2016.0
758,759.0,Smart Battery Solutions,No,No,Germany,Technology,212.59,46.22,10203000.0,3264000.0,69.0,28,2010.0
759,760.0,eu-bay Commerce,No,No,Germany,Retail,212.23,46.16,8122686.0,2601485.0,20.0,10,2003.0
760,761.0,Jens Rabe Academy,No,No,Germany,Education,212.06,46.13,3655345.0,1171373.0,20.0,6,2009.0
761,762.0,Hyperoptic,Yes,No,UK,Telecoms,211.97,46.12,57766084.0,18649681.0,1251.0,407,2010.0
762,763.0,SEPALE,No,No,France,Energy,211.33,46.02,7879983.0,2531055.0,21.0,2,2009.0
763,764.0,3A Informatica,No,No,Italy,Telecoms,210.73,45.92,1970000.0,633990.0,33.0,19,2005.0
764,765.0,EMSPROTO,Yes,No,France,Ecommerce,210.64,45.91,3136947.0,1009846.0,22.0,10,2014.0
765,766.0,Laboratoires Dermosun,No,No,France,Chemicals & Pharmaceuticals,209.88,45.79,5626849.0,1815835.0,13.0,9,2011.0
766,767.0,Saico,No,No,Italy,Construction,209.36,45.71,6737600.0,2177950.0,23.0,13,2013.0
767,768.0,Nutis,Yes,No,Italy,Food & Beverage,209.01,45.66,6566530.0,2124990.0,19.0,9,1956.0
